2017-05-16 21:44:40,06p,kaze018,lord,win,kami014,rebel,lose,wind011,rebel,lose,luna053,rebel,lose,kami002,loyalist,win,luna022,renegade,lose
2017-05-16 22:21:39,06p,snow048,rebel,win,yuki017,rebel,win,kaze003,loyalist,lose,wind057,rebel,win,kami002,renegade,lose,snow014,lord,lose
2017-05-16 22:42:51,06p,luna025,lord,win,wind048,rebel,lose,bloom022,loyalist,win,luna047,rebel,lose,kami002,rebel,lose,luna051,renegade,lose
2017-05-16 23:13:14,06p,tsuki006,rebel,win,sp003,lord,lose,bloom021,rebel,win,snow003,renegade,lose,kami013,rebel,win,bloom032,loyalist,lose
2017-05-16 23:28:39,06p,tsuki008,renegade,win,hana007,rebel,lose,snow007,rebel,lose,luna015,lord,lose,luna053,rebel,lose,sp014,loyalist,lose
2017-05-16 23:35:01,06p,kaze001,lord,lose,kami002,rebel,win,luna025,rebel,win,bloom042,loyalist,lose,luna009,renegade,lose,snow010,rebel,win
2017-05-16 23:43:37,06p,tsuki015,rebel,win,yuki008,renegade,lose,luna038,loyalist,lose,kami007,rebel,win,yuki001,lord,lose,shin007,rebel,win
2017-05-16 23:52:40,06p,bloom013,lord,lose,sp007,loyalist,lose,wind006,rebel,win,kami010,renegade,lose,kami002,rebel,win,bangai004,rebel,win
2017-05-16 23:58:00,06p,shin003,rebel,win,luna051,renegade,lose,tsuki018,lord,lose,kami002,loyalist,lose,wind041,rebel,win,tsuki017,rebel,win
2017-05-17 00:06:11,06p,kami002,rebel,win,shin016,renegade,lose,sp014,rebel,win,hana004,loyalist,lose,snow014,lord,lose,sp003,rebel,win
2017-05-17 16:10:12,06p,snow056,rebel,win,tsuki016,renegade,lose,yuki013,rebel,win,wind001,lord,lose,wind005,rebel,win,kami002,loyalist,lose
2017-05-17 16:29:43,06p,kaze008,rebel,surrender,snow040,lord,surrender,bangai012,rebel,surrender,sp003,loyalist,surrender,yuki015,rebel,surrender,luna009,renegade,surrender
2017-05-17 16:42:01,06p,bloom014,lord,win,sp014,renegade,lose,tsuki006,loyalist,win,snow029,rebel,lose,kaze011,rebel,lose,kaze005,rebel,lose
2017-05-17 16:55:17,06p,kaze018,lord,win,wind012,rebel,lose,kaze012,renegade,lose,shin010,rebel,lose,kami012,loyalist,win,wind006,rebel,lose
2017-05-17 17:17:50,08p,kami004,renegade,win,kami002,rebel,lose,snow006,rebel,lose,luna009,lord,lose,snow028,rebel,lose,tsuki014,loyalist,lose,bloom039,loyalist,lose,sp010,rebel,lose
2017-05-17 17:49:00,08p,snow019,renegade,lose,sp013,lord,win,bangai006,rebel,lose,sp004,rebel,lose,kami002,rebel,lose,luna010,rebel,lose,luna034,loyalist,win,wind013,loyalist,win
2017-05-17 19:01:37,08p,wind039,rebel,win,bloom033,rebel,win,snow030,loyalist,lose,yuki018,lord,lose,kami004,rebel,win,kami010,renegade,lose,snow040,loyalist,lose,luna009,rebel,win
2017-05-17 19:23:57,08p,kami016,rebel,win,bloom026,renegade,lose,wind042,rebel,win,hana007,loyalist,lose,sp005,rebel,win,kami013,loyalist,lose,sp013,rebel,win,kaze018,lord,lose
2017-05-17 19:36:15,08p,bloom001,lord,lose,kami013,rebel,win,kami003,rebel,win,bangai009,rebel,win,shin005,loyalist,lose,sp011,rebel,win,kaze017,renegade,lose,kami010,loyalist,lose
2017-05-17 20:16:07,08p,hana005,rebel,win,bloom020,loyalist,lose,luna027,loyalist,lose,kami002,renegade,lose,sp009,lord,lose,tsuki011,rebel,win,luna002,rebel,win,sp005,rebel,win
2017-05-17 20:42:13,08p,tsuki006,rebel,lose,luna046,loyalist,win,sp014,loyalist,win,wind024,renegade,lose,sp004,rebel,lose,sp013,rebel,lose,snow002,rebel,lose,kaze018,lord,win
2017-05-17 20:46:23,08p,kaze001,lord,surrender,wind047,rebel,surrender,wind022,rebel,surrender,kami002,loyalist,surrender,kami004,rebel,surrender,sp005,rebel,surrender,snow023,renegade,surrender,snow008,loyalist,surrender
